Loại cảm ứng,Số Camera Selfie,Bluetooth,Thương hiệu,Cảm biến,Bộ nhớ trong,Dung lượng pin,Phụ kiện trong hộp,Màu màn hình,Tần số quét,Chất liệu mặt kính,Chất liệu,Thông báo LED,Bảo mật,Loại PIN,Công nghệ màn hình,Tốc độ tối đa,Thẻ nhớ ngoài,Tỷ lệ tương phản,Làm mát,Trọng lượng sản phẩm,Thời gian bảo hành (tháng),Độ phân giải,Camera Type 3,GPS,Hỗ trợ mạng,64 Bits,Type,Chuẩn màn hình,Sensor,Tên,Số khe SIM,CPU,Danh bạ lưu trữ,Aperture,Tỷ lệ diện tích sử dụng màn hình,OS,Cổng giao tiếp,Độ sáng tối đa,Loại SIM,Mật độ điểm ảnh,Số nhân,Hỗ trợ thẻ nhớ tối đa,Camera Type 1,Quay phim,Xuất xứ,GPU,Loại CPU,Camera Type 4,Version,Độ phủ màu,Kích thước,Resolution,Tính năng,Chuẩn kháng nước / Bụi bẩn,Phiên bản CPU,Tính năng đặc biệt,Hướng dẫn sử dụng,Công nghệ pin,Giá thị trường,RAM,Hướng dẫn bảo quản,Số camera sau,Pixel size,Kích thước màn hình,Camera Type 2,Wifi,Bộ nhớ còn lại,RAM Type,Kết nối khác,Kích thước màn hình phụ,Thời điểm ra mắt,Tỷ lệ khung hình
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xiaomi Redmi K40 Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oppo A73 5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Realme 7 5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTE Blade A7s 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nokia 5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huawei Nova 8 SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nokia 225 4G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nokia 2 V Tella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wiko Y60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wiko View3 Lite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wiko Sunny 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OnePlus 8T+ 5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OnePlus Nord N100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OnePlus 8T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OnePlus 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Realme C15 Qualcomm Edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG Q52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huawei Mate 40 RS Porsche Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huawei Mate 30E Pro 5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vivo Y9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Realme X3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xiaomi Black Shark 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xiaomi Black Shark 2 Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huawei Nova 5i Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huawei Nova 5 Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,Vivo,,,,,,,,,,,,,,,,,,,,,,,,,,,Vivo V17 6GB-128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huawei Enjoy 10 Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xiaomi Mi Mix Alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xiaomi Redmi K20 Pro Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
